Sample ID,Sample Name
Mo_2017_DOM_1,D_Blank
Mo_2017_DOM_2,D_WA_1_T0D
Mo_2017_DOM_3,D_WA_2_T0D
Mo_2017_DOM_4,D_PV_1_T0D
Mo_2017_DOM_5,D_PV_2_T0D
Mo_2017_DOM_6,D_PL_1_T0D
Mo_2017_DOM_7,D_PL_2_T0D
Mo_2017_DOM_8,D_CC_1_T0D
Mo_2017_DOM_9,D_CC_2_T0D
Mo_2017_DOM_10,D_DT_1_T0D
Mo_2017_DOM_11,D_DT_2_T0D
Mo_2017_DOM_12,D_TR_1_T0D
Mo_2017_DOM_13,D_TR_2_T0D
Mo_2017_DOM_14,D_Blank_XAD
Mo_2017_DOM_15,D_WA_1_T0D_XAD
Mo_2017_DOM_16,D_WA_2_T0D_XAD
Mo_2017_DOM_17,D_PL_1_T0D_XAD
Mo_2017_DOM_18,D_PL_2_T0D_XAD
Mo_2017_DOM_19,D_CC_1_T0D_XAD
Mo_2017_DOM_20,D_CC_2_T0D_XAD
Mo_2017_DOM_21,D_DT_1_T0D_XAD
Mo_2017_DOM_22,D_DT_2_T0D_XAD
Mo_2017_DOM_23,D_Blank_C18
Mo_2017_DOM_24,D_WA_1_T0D_C18
Mo_2017_DOM_25,D_WA_2_T0D_C18
Mo_2017_DOM_26,D_PL_1_T0D_C18
Mo_2017_DOM_27,D_PL_2_T0D_C18
Mo_2017_DOM_28,D_CC_1_T0D_C18
Mo_2017_DOM_29,D_CC_2_T0D_C18
Mo_2017_DOM_30,D_DT_1_T0D_C18
Mo_2017_DOM_31,D_DT_2_T0D_C18
Mo_2017_DOM_32,D_WA_1_TFD
Mo_2017_DOM_33,D_WA_2_TFD
Mo_2017_DOM_34,D_WA_3_TFD
Mo_2017_DOM_35,D_WA_4_TFD
Mo_2017_DOM_36,D_PV_1_TFD
Mo_2017_DOM_37,D_PV_2_TFD
Mo_2017_DOM_38,D_PV_3_TFD
Mo_2017_DOM_39,D_PV_4_TFD
Mo_2017_DOM_40,D_PL_1_TFD
Mo_2017_DOM_41,D_PL_2_TFD
Mo_2017_DOM_42,D_PL_3_TFD
Mo_2017_DOM_43,D_PL_4_TFD
Mo_2017_DOM_44,D_CC_1_TFD
Mo_2017_DOM_45,D_CC_2_TFD
Mo_2017_DOM_46,D_CC_3_TFD
