name,chemontid,level,SUBCLASS,CHEMONT_STRING,CLASS_STRING
Chemical entities,CHEMONTID:9999999,0,,,
Inorganic compounds,CHEMONTID:0000001,1,CHEMONTID:9999999,CHEMONTID:0000001,Inorganic compounds
Organic compounds,CHEMONTID:0000000,1,CHEMONTID:9999999,CHEMONTID:0000000,Organic compounds
Organic anions,CHEMONTID:0003608,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0003608,Organic compounds;Organic anions
Organic acids and derivatives,CHEMONTID:0000264,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000264,Organic compounds;Organic acids and derivatives
Organic oxygen compounds,CHEMONTID:0004603,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0004603,Organic compounds;Organic oxygen compounds
Miscellaneous inorganic compounds,CHEMONTID:0001568,2,CHEMONTID:0000001,CHEMONTID:0000001;CHEMONTID:0001568,Inorganic compounds;Miscellaneous inorganic compounds
Organic zwitterions,CHEMONTID:0003610,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0003610,Organic compounds;Organic zwitterions
Hydrocarbons,CHEMONTID:0002837,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0002837,Organic compounds;Hydrocarbons
Mixed metal/non-metal compounds,CHEMONTID:0000424,2,CHEMONTID:0000001,CHEMONTID:0000001;CHEMONTID:0000424,Inorganic compounds;Mixed metal/non-metal compounds
Allenes,CHEMONTID:0000016,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000016,Organic compounds;Allenes
Organohalogen compounds,CHEMONTID:0000267,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000267,Organic compounds;Organohalogen compounds
Alkaloids and derivatives,CHEMONTID:0000279,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000279,Organic compounds;Alkaloids and derivatives
Organic cations,CHEMONTID:0003609,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0003609,Organic compounds;Organic cations
Organometallic compounds,CHEMONTID:0000462,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000462,Organic compounds;Organometallic compounds
Organic Polymers,CHEMONTID:0003297,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0003297,Organic compounds;Organic Polymers
Organopnictogen compounds,CHEMONTID:0004557,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0004557,Organic compounds;Organopnictogen compounds
Organic nitrogen compounds,CHEMONTID:0004707,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0004707,Organic compounds;Organic nitrogen compounds
Lipids and lipid-like molecules,CHEMONTID:0000012,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000012,Organic compounds;Lipids and lipid-like molecules
"Nucleosides, nucleotides, and analogues",CHEMONTID:0000289,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000289,"Organic compounds;Nucleosides, nucleotides, and analogues"
Organosulfur compounds,CHEMONTID:0000004,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000004,Organic compounds;Organosulfur compounds
Organophosphorus compounds,CHEMONTID:0000400,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000400,Organic compounds;Organophosphorus compounds
Inorganic salts,CHEMONTID:0003866,2,CHEMONTID:0000001,CHEMONTID:0000001;CHEMONTID:0003866,Inorganic compounds;Inorganic salts
Benzenoids,CHEMONTID:0002448,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0002448,Organic compounds;Benzenoids
Phenylpropanoids and polyketides,CHEMONTID:0000261,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000261,Organic compounds;Phenylpropanoids and polyketides
Acetylides,CHEMONTID:0004478,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0004478,Organic compounds;Acetylides
Carbenes,CHEMONTID:0003629,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0003629,Organic compounds;Carbenes
